ParallelUnits,Time,Speedup,Efficiency,Implementation
1,0.0628,1.0,100.0,OpenMP
2,0.0287,2.1881533101045294,109.40766550522648,OpenMP
4,0.0157,4.0,100.0,OpenMP
8,0.0102,6.156862745098039,76.96078431372548,OpenMP
16,0.0102,6.156862745098039,38.48039215686274,OpenMP
1,0.0532,1.1804511278195489,118.04511278195488,MPI
2,0.0463,1.3563714902807773,67.81857451403887,MPI
4,0.0247,2.54251012145749,63.56275303643725,MPI
8,0.0206,3.048543689320388,38.106796116504846,MPI
1,0.104362,1.0,,CUDA
4,0.023093,4.51916,,CUDA
16,0.006003,17.384,,CUDA
32,0.003062,34.088,,CUDA
64,0.003066,34.0345,,CUDA
128,0.00315,33.1292,,CUDA
256,0.003174,32.8808,,CUDA
512,0.003257,32.0423,,CUDA
